dataset_code,dataset_name,project_code,project_name,profile_id,profile_depth_id,monitoring_location_name,date,time_sample,depth_m,depth_bin_m,temp_c,oxygen_mg_l1,oxygen_saturation_pct,cond_us_cm1,cond_spec_us_cm1,chla_ug_l1,gear_type_code,gear_type_desc,optode,method_sample_code,method_sample_desc,qa_level,collected_by,researcher_code,researcher_name,qualifiers,comments,update_date,account,version
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 0.497 m],114 LA CB,2023-05-17,8:30:30,0.497,0.5,16.93,9.52,,13,15,4,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 0.999 m],114 LA CB,2023-05-17,8:31:26,0.999,1,16.94,9.51,,13,15,7,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 1.51 m],114 LA CB,2023-05-17,8:32:44,1.51,1.5,16.94,9.42,,13,15,8,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 2.008 m],114 LA CB,2023-05-17,8:33:52,2.008,2,16.92,9.54,,13,15,8,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 2.501 m],114 LA CB,2023-05-17,8:35:16,2.501,2.5,16.93,9.49,,13,15,6,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 2.757 m],114 LA CB,2023-05-17,8:37:56,2.757,2.75,16.66,9.41,,13,15,6,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 3.009 m],114 LA CB,2023-05-17,8:37:12,3.009,3,15.92,10,,13,16,8,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 3.252 m],114 LA CB,2023-05-17,8:39:02,3.252,3.25,14.71,10.84,,13,16,9,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 3.502 m],114 LA CB,2023-05-17,8:40:08,3.502,3.5,12.5,11.37,,12,16,11,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 3.746 m],114 LA CB,2023-05-17,8:41:08,3.746,3.75,11.23,10.98,,12,16,16,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
