Sample ID,Site,Date Collected,Test,Parameter,Result,Units,Rep. Limit,Instrument,Method,Analyst,Analysis Date,Order ID,Matrix,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Absorbance scan,SUVA,0.07,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Absorbance scan,SR,1.0361,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Absorbance scan,S275-295,0.0194,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Absorbance scan,S350-400,0.0188,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Absorbance scan,E2:E3,6.1667,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Absorbance scan,E2:E4,23.125,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Absorbance scan,A254,42.8358,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Alk,Alk,170.2,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Anions,Cl,0.23,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Anions,SO4,1.7,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Cations,Ca,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Cations,Na,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Cations,Mo,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Cations,Mn,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Cations,Mg,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Cations,K,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Cations,Fe,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Chla,Chla,0.5,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-07-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,DIC,DIC,212,µmol/L,2.1,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,bcooney,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,DOC,DOC,612,µmol/L,18,Elementar Enviro-TOC,ELA-DOC,bcooney,07-17-2024 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,NH3,NH3-N,10,µg/L,7.7,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,NO2,NO2-N,0.5,µg/L,0.29,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,NO3,NO3-N,57,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Part C/N,Part N,1.8,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Part C/N,Part C,218.4,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,Part P,Part P,4,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,cleclerc,10-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,pH,pH,5.81,SU,,MANTECH MT-100,ELA-MT100,shavens,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,SRSi,SRSi,2.364,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,jthoroski,10-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,TDN,TDN,270,µg/L,10.2,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,01-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-03,239 LA CB 5m,01-16-2023,TDP,TDP,1.6,µg/L,1.3,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,01-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Absorbance scan,A254,42.3752,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Absorbance scan,E2:E4,22.875,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Absorbance scan,E2:E3,6.1,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Absorbance scan,S350-400,0.0191,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Absorbance scan,S275-295,0.0194,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Absorbance scan,SR,1.0141,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Absorbance scan,SUVA,0.0685,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Alk,Alk,178.4,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Anions,Cl,0.23,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Anions,SO4,1.7,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Cations,Ca,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Cations,Mo,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Cations,Na,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Cations,Fe,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Cations,K,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Cations,Mg,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Cations,Mn,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Chla,Chla,0.43,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-07-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,DIC,DIC,229,µmol/L,2.1,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,bcooney,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,DOC,DOC,619,µmol/L,18,Elementar Enviro-TOC,ELA-DOC,bcooney,07-17-2024 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,NH3,NH3-N,9,µg/L,7.7,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,NO2,NO2-N,0.5,µg/L,0.29,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,NO3,NO3-N,62,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Part C/N,Part N,29.5,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Part C/N,Part C,220.3,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,Part P,Part P,5,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,cleclerc,10-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,pH,pH,5.81,SU,,MANTECH MT-100,ELA-MT100,shavens,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,SRSi,SRSi,2.496,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,jthoroski,10-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,TDN,TDN,270,µg/L,10.2,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,01-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-04,239 LA CB 10m,01-16-2023,TDP,TDP,1.7,µg/L,1.3,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,01-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Absorbance scan,SUVA,0.0696,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Absorbance scan,SR,0.9971,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Absorbance scan,S350-400,0.0194,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Absorbance scan,S275-295,0.0193,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Absorbance scan,E2:E3,6.2414,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Absorbance scan,E2:E4,22.625,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Absorbance scan,A254,41.9146,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Alk,Alk,176.2,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Anions,Cl,0.22,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Anions,SO4,1.73,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Cations,Ca,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Cations,Na,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Cations,Mo,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Cations,Mn,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Cations,Mg,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Cations,K,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Cations,Fe,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Chla,Chla,0.42,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-07-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,DIC,DIC,251,µmol/L,2.1,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,bcooney,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,DOC,DOC,602,µmol/L,18,Elementar Enviro-TOC,ELA-DOC,bcooney,07-17-2024 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,NH3,NH3-N,9,µg/L,7.7,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,NO2,NO2-N,0.4,µg/L,0.29,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,NO3,NO3-N,67,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,01-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Part C/N,Part N,30.1,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Part C/N,Part C,261.5,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,Part P,Part P,5,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,cleclerc,10-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,pH,pH,5.81,SU,,MANTECH MT-100,ELA-MT100,shavens,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,SRSi,SRSi,2.656,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,jthoroski,10-17-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,TDN,TDN,271,µg/L,10.2,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,01-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-05,239 LA CB 15m,01-16-2023,TDP,TDP,1.7,µg/L,1.3,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,01-19-2023 00:00,2023011502,Lake Water,,,,
2023011502-06,239 LA CB 20m,01-16-2023,Absorbance scan,A254,41.9146,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
